w,Unit cell x-dimension (# of pixels),Unit cell y-dimension (# of pixels),Geometry encoding (Condensed 15),Geometry encoding (Condensed 25),"Geometry encoding (full, row-major)",Plane Stress/Plane Strain,C11 (sxx-exx),C12  (sxx-eyy),C22 (syy-eyy),C16  (sxx-exy),C26 (syy-exy),C66 (sxy-exy),Constituent Material CM0,CM0: C11,CM0: C12,CM0: C22,CM0: C16,CM0: C26,CM0: C66,Constituent Material CM1,CM1: C11,CM1: C12,CM1: C22,CM1: C16,CM1: C26,CM1: C66
C4v,10,10,000000010101110,,0110000110110100101110100001010100000010000000000000000000000100000010101000010111010010110110000110,Plane Strain,872802504,273890934,872802504,0,0,176954757,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010101111,,1110000111110100101110100001010100000010000000000000000000000100000010101000010111010010111110000111,Plane Strain,863438478,265334300,863438478,0,0,175846840,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110000,,0000000000001100110001100001100100000010000000000000000000000100000010011000011000110011000000000000,Plane Strain,1323668723,459635582,1323668723,0,0,272579324,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110001,,1000000001001100110001100001100100000010000000000000000000000100000010011000011000110011001000000001,Plane Strain,1128883500,446875121,1128883500,0,0,271374313,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110010,,0100000010101100110101100001100100000010000000000000000000000100000010011000011010110011010100000010,Plane Strain,911045524,319145933,911045524,0,0,234531377,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110011,,1100000011101100110101100001100100000010000000000000000000000100000010011000011010110011011100000011,Plane Strain,839547275,323393150,839547275,0,0,225972663,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110100,,0000000000011100111001100001100100000010000000000000000000000100000010011000011001110011100000000000,Plane Strain,1249341943,404463977,1249341943,0,0,218844196,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110101,,1000000001011100111001100001100100000010000000000000000000000100000010011000011001110011101000000001,Plane Strain,953941919,348260376,953941919,0,0,208690682,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110110,,0100000010111100111101100001100100000010000000000000000000000100000010011000011011110011110100000010,Plane Strain,708026883,186561715,708026883,0,0,61919578,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010110111,,1100000011111100111101100001100100000010000000000000000000000100000010011000011011110011111100000011,Plane Strain,695976036,181556197,695976036,0,0,61508882,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111000,,0010000100001100110011100001110100000010000000000000000000000100000010111000011100110011000010000100,Plane Strain,716962845,195188830,716962845,0,0,51745714,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111001,,1010000101001100110011100001110100000010000000000000000000000100000010111000011100110011001010000101,Plane Strain,715607956,194166250,715607956,0,0,51607992,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111010,,0110000110101100110111100001110100000010000000000000000000000100000010111000011110110011010110000110,Plane Strain,697867865,184049504,697867865,0,0,51262560,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111011,,1110000111101100110111100001110100000010000000000000000000000100000010111000011110110011011110000111,Plane Strain,688199211,175577405,688199211,0,0,49758379,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111100,,0010000100011100111011100001110100000010000000000000000000000100000010111000011101110011100010000100,Plane Strain,705859748,187171177,705859748,0,0,50903548,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111101,,1010000101011100111011100001110100000010000000000000000000000100000010111000011101110011101010000101,Plane Strain,704243136,186023680,704243136,0,0,50394395,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111110,,0110000110111100111111100001110100000010000000000000000000000100000010111000011111110011110110000110,Plane Strain,688312220,175280102,688312220,0,0,49200548,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010111111,,1110000111111100111111100001110100000010000000000000000000000100000010111000011111110011111110000111,Plane Strain,682797161,170557527,682797161,0,0,49160045,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000000,,0001001000000100100000000000001100000011000000000000000000001100000011000000000000010010000001001000,Plane Strain,1515721590,600023603,1515721590,0,0,398947396,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000001,,1001001001000100100000000000001100000011000000000000000000001100000011000000000000010010001001001001,Plane Strain,1455232761,539726188,1455232761,0,0,268168109,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000010,,0101001010100100100100000000001100000011000000000000000000001100000011000000000010010010010101001010,Plane Strain,1341728839,450762678,1341728839,0,0,230741360,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000011,,1101001011100100100100000000001100000011000000000000000000001100000011000000000010010010011101001011,Plane Strain,1258420611,379687759,1258420611,0,0,114041736,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000100,,0001001000010100101000000000001100000011000000000000000000001100000011000000000001010010100001001000,Plane Strain,1378480623,488732356,1378480623,0,0,313224339,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000101,,1001001001010100101000000000001100000011000000000000000000001100000011000000000001010010101001001001,Plane Strain,1332286971,447234379,1332286971,0,0,233886927,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000110,,0101001010110100101100000000001100000011000000000000000000001100000011000000000011010010110101001010,Plane Strain,1228995842,361161066,1228995842,0,0,74995668,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000011000111,,1101001011110100101100000000001100000011000000000000000000001100000011000000000011010010111101001011,Plane Strain,1221876283,354790434,1221876283,0,0,73669364,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
